pgpid,type,tags,description
9068,Legal document,"India, IB4","Partnership or investment (ʿisqa) agreement. Probably from a court notebook. Between Ḥalfon b. Netanel ha-Levi and Abū Yaʿaqov Yosef b. Shuʿayb/Shaʾul Ibn al-Najera. Location: Fez. Dated: Last decade of Ṭevet 4898 AM, which is January 1138 CE. (Ḥalfon's father Netanel was still alive when this document was written.) No witnesses. The document is written almost entirely as a first-person declaration by Ibn al-Najera. He has contributed 40 murābiṭī mithqāls and Ḥalfon has contributed 60 murābiṭī mithqāls to the partnership. The active partner (the sole partner doing business with the money) is Ibn al-Najera. (Information from India Book IV; Hebrew description below.) See also T-S AS 146.219 (PGPID 17378) and T-S AS 149.119 (PGPID 17546). IB ח26 (ד26 + ד27)."
9069,Letter,"India, IB4","Letter from Yosef Ibn ʿEzra and Avraham b. Muʿṭī, in Tilimsān, to Ḥalfon b. Netanel ha-Levi. Mainly in Judaeo-Arabic, with some phrases in Judaeo-Persian. Dated: 28 Ṭevet 4898 AM, which is 13 January 1138 CE. India Book 4 (Hebrew description below; full English description to come.) See also Shaked, ""Persian-Arabic Bilingualism"" in From A Sacred Source, pp. 322–24 (edition and translation) IB ח27 (ד30)."
9070,Letter,"India, IB4","Letter from Yosef b. ʿEzra and Avraham b. Muʿṭī, in Tilimsān, to Ḥalfon b. Netanel. Dating: After Purim 4898 AM, which is 27 February 1138 CE. In Judaeo-Arabic. The sender warns Ḥalfon not to travel from Fez or Almeria, on account of the war in the Mediterranean. (Information from Goitein and Friedman, India Book 4; full Hebrew description below.) IB ח28 (ד29)."
9071,Legal document,"India, IB4","Fragment of a partnership agreement in which one of the partners is Abū l-Saʿd Ḥalfon b. Netanʾel ha-Levi. Location: likely Lucena. Dating: likely beginning of July 1138 CE. In which Yosef agrees to hand over the profits by Passover of the year 1139. If he violates the agreement, Yosef must pay twenty mithqāls 'to the poor of Almeria and the captives.' The deed was written by a professional scribe, but the addition on verso is by Ḥalfon himself. Just as document ח26 opens with the statement of the active partner, Yosef b. Shuʿayb Ibn al-Najera, who received money from Ḥalfon to trade in, so here Ḥalfon gave money to Yosef to trade in. If so, we have before us two partnership deeds that were written in the West between Ḥalfon, the investor, and a 'dealer' named Yosef, and it turns out that this refers to the same partner. Since it was agreed that if Yosef broke the agreement, he will give twenty mithqāls 'to the poor of Almeria and to the captives', this document was presumably written in Spain, at the time when Ibn Al-Najera visited Ḥalfon, in Lucena, at the beginning of July 1138. (Information from Goitein and Friedman, India Book IV) IB ח29 (ד28)."
9073,Letter,"India, IB4","Letter from Yiṣḥaq b. Barukh, Almeria, to Ḥalfon b. Netanʾel in Lucena. Dated: Monday 29 Av 4898 (August 8, 1138). The subject of the letter, hinted at, is Abū l-Rabīʿ al-Lusānī. The writer has sent 60 of the 100 mithqāl that had been received from Tilimsān, which Ibn Giyat was supposed to deliver to Yehuda ha-Levi (see doc. ח30). He sent the money to Ibn Giyat through three different messengers. One of the two ships that sailed from Alexandria (see again doc. ה30) had arrived in Almeria. One of the passengers was Abū l-Barakāt b. Harith, who sends greetings to Ḥalfon’s brother ʿEli the Judge. (Information from Goitein and Friedman, India Book IV) IB ח31 (ד23)."
9074,Letter,"India, IB4","Letter from Ibn Barukh, in Almeria, to Ḥalfon b. Netanel ha-Levi. In Judaeo-Arabic. Dating: probably end of August 1138 CE. India Book 4 (Hebrew description below; full English to come) IB ח32 (ד25)."
9075,Letter,"India, illness: marad, illness letter 969-1517, IB4, Illness, Illness: women's","Letter previously thought to be from Abū Yaʿqūb Ibn al-Najera, somewhere in Spain, to Ḥalfon b. Netanel, likely in Lucena. Dating: likely August 1138 CE. Identifications and datings are based on comparison with T-S 12.285. [However, T-S AS 149.119 is a letter from Ibn al-Najera and does not resemble this one.] This letter recounts the writer's visit to a woman who owed him 10 mithqāls, but he found her sick. He now asks Ḥalfon to advance him a certain sum, probably the same 10 mithqāls, for the purpose of his travel to Almeria. Information from Goitein and Friedman, India Book 4, pp: 182-183. VMR. ASE. IB ח33 (ד53)."
9076,Letter,"India, IB4","Letter from Ibn Barukh, in Almeria, to Ḥalfon b. Netanel. Dating: Probably end of summer 1138 CE. (Information from Goitein and Friedman, India Book 4; full Hebrew description below.) IB ח34 (ד24)."
9077,Letter,"India, captives, 12th c, IB4, ransom, Yehuda ha-Levi autograph","Letter from Yehuda ha-Levi in Toledo to Ḥalfon b. Netanel concerning the ransom of a captive woman in al-Andalus. The amount of money that is needed is 32⅔ dinars, after Yehuda ha-Levi gave ⅔ dinars (the total amount to redeem a captive, by common convention around the Mediterranean, was 33⅓ dinars). Yehuda ha-Levi asks Ḥalfon to welcome the woman's father, who came to Lucena in order to collect the money with Ḥalfon. The writer mentions an evil woman who refuses to set the woman free, probably Doña Urraca, queen of Toledo (1109–26). (Information from Goitein, ""Autographs of Yehuda ha-Levi,"" Tarbiz 25 (1956), pp. 393-412). VMR"
9080,Letter,"India, 12th c, IB4","Letter from Avraham Ṣiqillī b. Moshe from somewhere in Iberia to Ḥalfon b. Natanʾel, probably in Algeria. Contains a long Hebrew preface with Aramaic quotations from the Talmud Yerushalmi. Avraham Ṣiqillī b. Moshe praises Ḥalfon for his wisdom and virtues. He has already sent a letter to Ḥalfon from the Shām. He tells Ḥalfon to send him pepper instead of the pepper that was delayed in Tilimsān. The writer asks Ḥalfon to speak with Ibn Barukh about the delay in raising funds for the redemption of a captive. Ṣiqillī was supposed to send to him the money, and also find out from him if he had heard anything about ordering the Arukh of Natan b. Yeḥiʾel of Rome, a dictionary of the Talmud (also discussed in ח34). The letter was written on isru ḥag, the day after a festival, possibly Sukkot 1138. At the end of the letter, the writer sends holiday greetings to Ḥalfon and Ibn Barukh and his children, as well as Yiṣḥaq ha-Kohen al-Ishbīlī. (Information from India Book.) IB ח38 (ד21)."
9081,Letter,"India, IB4","Letter from Yosef b. Shemuel ha-Levi known as Ibn al-Lukhtūsh, probably in Granada, to Ḥalfon b. Netanel ha-Levi, probably staying somewhere in Spain not far from Granada. Dating: October 1138 CE. In Judaeo-Arabic. See also IV,3 and IV,40, other letters with the same sender and addressee. This letter testifies to the recognition that Yosef accorded to Ḥalfon as a leader with stature in the Jewish world. The sender comments on a letter he received from Ḥalfon containing things that disturbed his peace, probably meaning Ḥalfon’s precarious health and things that prevented him from setting out and difficulties in trading. The sender hopes that business with Tilimsān has reached a successful conclusion, probably a reference to the same affairs as in IV,30 (at which time the money from Tilimsān had not yet arrived). The letter also includes information on other financial matters, including money given by the author to Ḥalfon for a copyist and cantor. A greeting is sent to Abū l-Barakāt b. Harith al-Levi, who arrived in Almeria from Alexandria in August 1138 CE. (Information from Goitein and Friedman, India Book IV; Hebrew description below.) IB ח39 (ד31)."
9083,Letter,"India, IB4, Yehuda ha-Levi","Letter from the trader Salmān, in Spain, to Abū Saʿīd (likely Ḥalfon b. Netanel ha-Levi). Dating: Perhaps Fall 1138 CE. Sent from Spain. Some of the names mentioned are known from the circle of Yehuda ha-Levi. (Information from Goitein and Friedman, India Book IV.) NB: this fragment was previously known as Antonin 1105 (similar to all the other Yevr. III B shelfmarks). IB ח41 (ד33)."
9084,Letter,"India, IB4","Letter from Shemuʾel b. Yiṣḥaq, probably in Granada, to Ḥalfon b. Netanʾel. Dating: summer 1138–spring 1139. Shemuʾel b. Yiṣḥaq might be from the Ibn al-Fakhr family. Mentions his sorrow over Ḥalfon's illness, which he read about in Ḥalfon's previous letter, and wishes him a full recovery. Apologizes for not being able to write in an eloquent style like Ḥalfon’s, quoting 1 Samuel 17:10, a motif that repeats in several of the letters from al-Andalus. The writer asks for assistance and sends blessings Ibn Migash, his son Meʾir, his brother's son Meʾir, Yaʿqūb and the rest of the 'brothers'. The writer's brother also sends greetings to Ḥalfon; it is possible that he is the author of ח43. (Information from Goitein and Friedman, India Book IV) IB ח42 (ד50)."
9085,Letter,"FGP stub, India, IB4","India Book 4 
 
A letter from Ibn al-Fakhar to Halfon b. Nethanel Halevi, asking for assistance and sending regards to R. Yosef Ibn Migash and relatives. Probably Granada summer 1138-spring 1139. AA. IB ח43 (ד51)."
9086,Letter,"India, IB4","Letter from the physician Yaʿaqov, in Spain, to Ḥalfon b. Netanel ha-Levi. In Judaeo-Arabic. Dating: between summer 1138 CE and March 1139 CE. India Book 4 (Hebrew description below; full English to come.) IB ח44 (ד35).

Spain"
9087,Letter,"India, IB4","Letter from Yaʿaqov the physician, possibly in Granada, to Ḥalfon b. Netanel, in Almeria. Dating: 1138–39 CE. Same sender as T-S 13J17.22. The sender says that he assuages his longing for Ḥalfon by singing his praises in private and in public. This letter is primarily a recommendation for the poet Abū Ayyūb b. Sahl. Apparently the three men—Ḥalfon, Yaʿaqov, and Abū Ayyūb—had all been traveling companions until they parted ways in Almeria. After Abū Ayyūb returned to his hometown, he composed a panegyric for Ḥalfon. It was originally attached to this letter but has not survived (or at least not been found). Greetings to Yosef Ibn ʿEzra and Avraham b. Muʿṭī of Tilimsān. (Information from Goitein and Friedman, India Book IV; Hebrew description below.) IB ח45 (ד42)."
9088,Letter,"India, IB4","Letter from a certain Yaʿaqov, probably in Lucena, to Ḥalfon b. Netanʾel ha-Levi, in Cordoba. Yaʿaqov, who is otherwise unknown, writes regarding a dispute with Ḥalfon over the sources of a halakhic ruling, whether one should refer back to the talmud directly or to the geʾonim. Also includes ad hominem attacks. Yaʿaqov sought to bring the dispute to arbitration before Ibn Migash and Yehonatan Ben Ghiyat. Faded and difficult to decipher, in addition the usual problems of vagueness on matters well-known to both sender and recipient. (Information from Friedman and Goitein, Ḥalfon [India Book vol. 4]) IB ח46 (ד44)."
